Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for windows-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:56:32 by "" with unknown MS VC++:1916
Memory: 4k page, physical 33482804k(12500280k free), swap 40426976k(8624048k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
0.194: [GC (Allocation Failure) 0.194: [DefNew: 959K->64K(960K), 0.0013632 secs] 26491K->26479K(524224K), 0.0013991 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.199: [GC (Allocation Failure) 0.199: [DefNew: 960K->63K(960K), 0.0014769 secs] 27375K->27363K(524224K), 0.0015142 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.202: [GC (Allocation Failure) 0.202: [DefNew: 959K->63K(960K), 0.0014073 secs] 28261K->28247K(524224K), 0.0014370 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.206: [GC (Allocation Failure) 0.206: [DefNew: 959K->63K(960K), 0.0013365 secs] 29143K->29134K(524224K), 0.0013737 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.209: [GC (Allocation Failure) 0.209: [DefNew: 959K->64K(960K), 0.0017151 secs] 30542K->30510K(524224K), 0.0017507 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.214: [GC (Allocation Failure) 0.214: [DefNew: 960K->63K(960K), 0.0015364 secs] 31407K->31397K(524224K), 0.0015686 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.217: [GC (Allocation Failure) 0.217: [DefNew: 959K->63K(960K), 0.0014311 secs] 32293K->32280K(524224K), 0.0014589 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.221: [GC (Allocation Failure) 0.221: [DefNew: 959K->64K(960K), 0.0015039 secs] 33176K->33150K(524224K), 0.0015372 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.223: [GC (Allocation Failure) 0.223: [DefNew: 960K->64K(960K), 0.0014498 secs] 34047K->34037K(524224K), 0.0014777 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.228: [GC (Allocation Failure) 0.228: [DefNew: 960K->64K(960K), 0.0015338 secs] 34933K->34922K(524224K), 0.0015707 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.231: [GC (Allocation Failure) 0.231: [DefNew: 960K->63K(960K), 0.0015172 secs] 35819K->35808K(524224K), 0.0015502 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.237: [GC (Allocation Failure) 0.237: [DefNew: 959K->64K(960K), 0.0015558 secs] 36705K->36686K(524224K), 0.0015890 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.240: [GC (Allocation Failure) 0.240: [DefNew: 960K->64K(960K), 0.0015347 secs] 37582K->37555K(524224K), 0.0015631 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.245: [GC (Allocation Failure) 0.245: [DefNew: 960K->63K(960K), 0.0015874 secs] 38452K->38391K(524224K), 0.0016286 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.247: [GC (Allocation Failure) 0.247: [DefNew: 959K->63K(960K), 0.0013641 secs] 39288K->39254K(524224K), 0.0013927 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.251: [GC (Allocation Failure) 0.251: [DefNew: 959K->64K(960K), 0.0013408 secs] 40151K->40079K(524224K), 0.0013654 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.255: [GC (Allocation Failure) 0.255: [DefNew: 960K->64K(960K), 0.0014849 secs] 40976K->40873K(524224K), 0.0015254 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.258: [GC (Allocation Failure) 0.258: [DefNew: 960K->64K(960K), 0.0014615 secs] 41770K->41734K(524224K), 0.0014917 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.263: [GC (Allocation Failure) 0.263: [DefNew: 960K->63K(960K), 0.0015459 secs] 42630K->42585K(524224K), 0.0015817 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.266: [GC (Allocation Failure) 0.266: [DefNew: 959K->63K(960K), 0.0014670 secs] 43482K->43447K(524224K), 0.0014946 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.271: [GC (Allocation Failure) 0.271: [DefNew: 959K->63K(960K), 0.0015050 secs] 44344K->44280K(524224K), 0.0015414 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.274: [GC (Allocation Failure) 0.274: [DefNew: 959K->64K(960K), 0.0014388 secs] 45177K->45153K(524224K), 0.0014805 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.279: [GC (Allocation Failure) 0.279: [DefNew: 960K->64K(960K), 0.0014357 secs] 46049K->46018K(524224K), 0.0014659 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.282: [GC (Allocation Failure) 0.282: [DefNew: 960K->63K(960K), 0.0013827 secs] 46914K->46866K(524224K), 0.0014131 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.287: [GC (Allocation Failure) 0.287: [DefNew: 959K->64K(960K), 0.0015654 secs] 47762K->47728K(524224K), 0.0015996 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.291: [GC (Allocation Failure) 0.291: [DefNew: 960K->63K(960K), 0.0015554 secs] 48624K->48602K(524224K), 0.0015923 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.296: [GC (Allocation Failure) 0.296: [DefNew: 959K->64K(960K), 0.0014596 secs] 49498K->49476K(524224K), 0.0014893 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.299: [GC (Allocation Failure) 0.299: [DefNew: 960K->63K(960K), 0.0013673 secs] 50372K->50334K(524224K), 0.0013927 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.303: [GC (Allocation Failure) 0.303: [DefNew: 959K->63K(960K), 0.0024881 secs] 51231K->51194K(524224K), 0.0025304 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
0.307: [GC (Allocation Failure) 0.307: [DefNew: 959K->64K(960K), 0.0015603 secs] 52090K->52068K(524224K), 0.0015987 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.311: [GC (Allocation Failure) 0.311: [DefNew: 960K->63K(960K), 0.0015452 secs] 52964K->52924K(524224K), 0.0015742 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.313: [GC (Allocation Failure) 0.313: [DefNew: 959K->63K(960K), 0.0014542 secs] 53821K->53746K(524224K), 0.0014798 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.317: [GC (Allocation Failure) 0.317: [DefNew: 959K->63K(960K), 0.0014124 secs] 54642K->54609K(524224K), 0.0014415 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.320: [GC (Allocation Failure) 0.320: [DefNew: 959K->63K(960K), 0.0014626 secs] 55506K->55466K(524224K), 0.0014918 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.324: [GC (Allocation Failure) 0.324: [DefNew: 959K->63K(960K), 0.0015499 secs] 56362K->56329K(524224K), 0.0015872 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.327: [GC (Allocation Failure) 0.327: [DefNew: 959K->63K(960K), 0.0014297 secs] 57226K->57194K(524224K), 0.0014592 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.335: [GC (Allocation Failure) 0.335: [DefNew: 959K->64K(960K), 0.0025953 secs] 59114K->59095K(524224K), 0.0026389 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.340: [GC (Allocation Failure) 0.340: [DefNew: 960K->63K(960K), 0.0016711 secs] 59991K->59957K(524224K), 0.0017234 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.345: [GC (Allocation Failure) 0.345: [DefNew: 959K->63K(960K), 0.0015812 secs] 60853K->60835K(524224K), 0.0016135 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.349: [GC (Allocation Failure) 0.349: [DefNew: 959K->64K(960K), 0.0015964 secs] 61731K->61705K(524224K), 0.0016246 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.354: [GC (Allocation Failure) 0.354: [DefNew: 960K->64K(960K), 0.0017596 secs] 62601K->62574K(524224K), 0.0018101 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.358: [GC (Allocation Failure) 0.358: [DefNew: 960K->63K(960K), 0.0016022 secs] 63470K->63450K(524224K), 0.0016352 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.364: [GC (Allocation Failure) 0.364: [DefNew: 959K->63K(960K), 0.0015844 secs] 64347K->64330K(524224K), 0.0016154 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
